"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.18.44","23.215.35.25","UDP","981","54955  >  443 Len=939"
"2","0.014605","Ubiquiti_23:54:f3","Broadcast","ARP","42","Who has 192.168.18.222? Tell 192.168.18.4"
"3","0.052412","23.215.35.25","192.168.18.44","UDP","71","443  >  54955 Len=29"
"4","0.085613","192.168.18.44","23.215.35.25","UDP","75","54955  >  443 Len=33"
"5","0.097322","192.168.18.44","192.168.18.1","DNS","77","Standard query 0x357d A www.wireshark.org"
"6","0.098544","192.168.18.44","192.168.18.1","DNS","81","Standard query 0x1a80 HTTPS config.edge.skype.com"
"7","0.098879","192.168.18.44","192.168.18.1","DNS","81","Standard query 0x8456 A config.edge.skype.com"
"8","0.101281","192.168.18.1","192.168.18.44","DNS","125","Standard query response 0x357d A www.wireshark.org A 104.26.11.240 A 172.67.75.39 A 104.26.10.240"
"9","0.105785","192.168.18.1","192.168.18.44","DNS","313","Standard query response 0x1a80 HTTPS config.edge.skype.com CNAME config.edge.skype.com.trafficmanager.net CNAME ln-0007.config.skype.com CNAME config-edge-skype.ln-0007.ln-msedge.net CNAME ln-0007.ln-msedge.net SOA ns1.ln-msedge.net"
"10","0.106016","192.168.18.44","192.168.18.1","DNS","77","Standard query 0x26db HTTPS www.wireshark.org"
"11","0.106331","192.168.18.44","192.168.18.1","DNS","77","Standard query 0xdd23 A www.wireshark.org"
"12","0.107468","192.168.18.1","192.168.18.44","DNS","256","Standard query response 0x8456 A config.edge.skype.com CNAME config.edge.skype.com.trafficmanager.net CNAME ln-0007.config.skype.com CNAME config-edge-skype.ln-0007.ln-msedge.net CNAME ln-0007.ln-msedge.net A 150.171.22.17"
"13","0.110240","192.168.18.44","150.171.22.17","TCP","66","18283  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"14","0.116587","192.168.18.1","192.168.18.44","DNS","125","Standard query response 0xdd23 A www.wireshark.org A 104.26.10.240 A 104.26.11.240 A 172.67.75.39"
"15","0.116587","23.215.35.25","192.168.18.44","UDP","64","443  >  54955 Len=22"
"16","0.119059","192.168.18.44","23.215.35.25","UDP","76","54955  >  443 Len=34"
"17","0.124476","192.168.18.44","104.26.10.240","TCP","66","62659  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"18","0.137680","192.168.18.1","192.168.18.44","DNS","170","Standard query response 0x26db HTTPS www.wireshark.org HTTPS"
"19","0.149039","23.215.35.25","192.168.18.44","UDP","126","443  >  54955 Len=84"
"20","0.149039","23.215.35.25","192.168.18.44","UDP","63","443  >  54955 Len=21"
"21","0.149039","150.171.22.17","192.168.18.44","TCP","66","443  >  18283 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 WS=256 SACK_PERM"
"22","0.149248","192.168.18.44","150.171.22.17","TCP","54","18283  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"23","0.150300","192.168.18.44","150.171.22.17","TCP","1466","18283  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=1412 [TCP PDU reassembled in 24]"
"24","0.150300","192.168.18.44","150.171.22.17","TLSv1.2","469","Client Hello (SNI=config.edge.skype.com)"
"25","0.150349","192.168.18.44","23.215.35.25","UDP","80","54955  >  443 Len=38"
"26","0.150513","192.168.18.44","23.215.35.25","UDP","76","54955  >  443 Len=34"
"27","0.152181","104.26.10.240","192.168.18.44","TCP","66","443  >  62659 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192"
